id,name,key,new_name,new_key
88ad30ed-fcb4-4954-a8d2-008f318f774c,Pixabay 1 min Piano_Arp.mp3,medeo/resource/music/pixabay-bgm/Pixabay 1 min Piano_Arp.mp3,Pixabay 1 min Piano_Arp,medeo/resource/music/pixabay-bgm/88ad30ed-fcb4-4954-a8d2-008f318f774c.mp3
38e6ba82-e51f-4c80-90a8-995bc34d895e,Latin Guitar Ballad.mp3,medeo/resource/music/pixabay-bgm/Latin Guitar Ballad.mp3,Latin Guitar Ballad,medeo/resource/music/pixabay-bgm/38e6ba82-e51f-4c80-90a8-995bc34d895e.mp3
e39d046e-c00c-4a58-b842-c136f0ecc571,Upbeat and Uplifting Indie Pop.mp3,medeo/resource/music/pixabay-bgm/Upbeat and Uplifting Indie Pop.mp3,Upbeat and Uplifting Indie Pop,medeo/resource/music/pixabay-bgm/e39d046e-c00c-4a58-b842-c136f0ecc571.mp3
8a911769-270c-4a05-9a4f-3ffb171a8a91,Solitarymaninblack-Blasted-into-Orbit.mp3,medeo/resource/music/pixabay-bgm/Solitarymaninblack-Blasted-into-Orbit.mp3,Solitarymaninblack-Blasted-into-Orbit,medeo/resource/music/pixabay-bgm/8a911769-270c-4a05-9a4f-3ffb171a8a91.mp3
1053413b-d0c9-4a9c-9335-82f003230677,awsome guitar on rainbow warrior.mp3,medeo/resource/music/pixabay-bgm/awsome guitar on rainbow warrior.mp3,awsome guitar on rainbow warrior,medeo/resource/music/pixabay-bgm/1053413b-d0c9-4a9c-9335-82f003230677.mp3
d47844d6-2511-4a2e-be66-2bd3c268b38f,find your harmony.mp3,medeo/resource/music/pixabay-bgm/find your harmony.mp3,find your harmony,medeo/resource/music/pixabay-bgm/d47844d6-2511-4a2e-be66-2bd3c268b38f.mp3
b16f95bd-e03d-4e46-acd5-9e983ab9b63a,Ballade avec des esprits effrayé emotional dark.mp3,medeo/resource/music/pixabay-bgm/Ballade avec des esprits effrayé emotional dark.mp3,Ballade avec des esprits effrayé emotional dark,medeo/resource/music/pixabay-bgm/b16f95bd-e03d-4e46-acd5-9e983ab9b63a.mp3
d571cfea-ff63-4782-85d0-2fed203a3637,Non son degno di te (Trance Remix).mp3,medeo/resource/music/pixabay-bgm/Non son degno di te (Trance Remix).mp3,Non son degno di te (Trance Remix),medeo/resource/music/pixabay-bgm/d571cfea-ff63-4782-85d0-2fed203a3637.mp3
0bd4b992-9edb-4d7e-a1bb-cffd9509cab4,Geovane Bruno - Growth.mp3,medeo/resource/music/pixabay-bgm/Geovane Bruno - Growth.mp3,Geovane Bruno - Growth,medeo/resource/music/pixabay-bgm/0bd4b992-9edb-4d7e-a1bb-cffd9509cab4.mp3
565f3a00-3054-4087-9ab9-e6a0261c5371,Soft Uplifting.mp3,medeo/resource/music/pixabay-bgm/Soft Uplifting.mp3,Soft Uplifting,medeo/resource/music/pixabay-bgm/565f3a00-3054-4087-9ab9-e6a0261c5371.mp3
